0.058,0.106,0.071,0.076,0.066,0.028,0.079,0.089,0.068,0.118
0.066,0.08,0.071,0.061,0.06,0.07050000000000001,0.064,0.058,0.0665,0.069
0.071,0.116,0.066,0.005,0.068,0.049,0.078,0.007,0.058,0.127
0.144,0.146,0.163,0.147,0.157,0.26933333333333337,0.32833333333333337,0.118,0.16566666666666666,0.167
0.077,0.149,0.059,0.065,0.052,0.096,0.104,0.053,0.075,0.1
0.0595,0.108,0.062,0.083,0.055,0.023,0.092,0.099,0.06,0.075
0.12,0.016,0.107,0.009,0.087,0.094,0.125,0.028,0.131,0.166
0.051,0.091,0.063,0.084,0.046,0.059,0.074,0.084,0.051,0.0785
0.012,0.08,0.051000000000000004,0.06,0.014,0.055999999999999994,0.093,0.006,0.099,0.092
0.069,0.0315,0.06,0.011,0.01,0.031,0.085,0.05,0.055999999999999994,0.053
0.0655,0.1,0.064,0.073,0.06,0.081,0.056,0.088,0.078,0.064
0.01,0.132,0.122,0.102,0.1,0.112,0.115,0.104,0.1,0.102
0.051,0.083,0.069,0.079,0.067,0.068,0.086,0.068,0.09,0.082
0.084,0.081,0.078,0.012,0.071,0.054,0.084,0.011,0.068,0.095
0.101,0.113,0.073,0.083,0.087,0.088,0.099,0.086,0.07200000000000001,0.11
0.065,0.131,0.057,0.135,0.053,0.074,0.088,0.137,0.06,0.156
0.073,0.1,0.085,0.102,0.083,0.104,0.111,0.008,0.073,0.108
0.07300000000000001,0.093,0.076,0.067,0.07,0.073,0.105,0.071,0.078,0.083
0.075,0.077,0.084,0.013,0.085,0.0955,0.111,0.038,0.067,0.164
0.118,0.121,0.109,0.136,0.0675,0.044,0.125,0.0115,0.122,0.12
0.012,0.041,0.103,0.013,0.059,0.094,0.103,0.012,0.102,0.08499999999999999
0.105,0.127,0.111,0.093,0.112,0.097,0.203,0.086,0.103,0.096
0.109,0.115,0.09,0.08,0.063,0.075,0.163,0.112,0.091,0.0825
0.085,0.13,0.08,0.101,0.08549999999999999,0.115,0.168,0.113,0.082,0.0945
0.011,0.012,0.011,0.062,0.06,0.05,0.076,0.076,0.051,0.079
